0x1a2	0x19d	0
0x1a2	0x12	1
0x1aa	0x1a7	0
0x1b2	0x1ad	0
0x1b2	0x12	1
0x1bd	0x1b8	0
0x1bd	0x12	1
0x1c8	0x1c3	0
0x1c8	0x12	1
0x1d0	0x1cd	0
0x1d6	0x1d3	0
0x1d6	0x1d2	1
0x1d9	0x1d8	0
0x1d9	0x1d7	1
0x1da	0x1d9	0
0x1de	0x1db	0
0x1de	0x1da	1
0x1e1	0x1df	0
0x204	0x1e1	0
0x204	0x1e2	1
0x207	0x205	0
0x207	0x1e1	1
0x20f	0x20c	0
0x22d	0x22a	0
0x232	0x22f	0
0x232	0x4bf4	1
0x232	0x4bed	2
0x232	0x4be7	3
0x232	0x4bd1	4
0x232	0x4bc1	5
0x232	0x221	6
0x236	0x234	0
0x23a	0x237	0
0x23a	0x236	1
0x23e	0x23b	0
0x23e	0x23b	1
0x24d	0x24a	0
0x24d	0x248	1
0x24d	0x247	2
0x24d	0x244	3
0x252	0x24f	0
0x252	0x24d_0x0	1
0x252	0x24d_0x1	2
0x252	0x24d_0x2	3
0x252	0x24d_0x3	4
0x252	0x24d_0x4	5
0x252	0x241	6
0x256	0x254	0
0x25a	0x257	0
0x25a	0x256	1
0x25e	0x25b	0
0x25e	0x25b	1
0x26d	0x26a	0
0x26d	0x268	1
0x26d	0x267	2
0x26d	0x264	3
0x272	0x26f	0
0x272	0x26d_0x0	1
0x272	0x26d_0x1	2
0x272	0x26d_0x2	3
0x272	0x26d_0x3	4
0x272	0x26d_0x4	5
0x272	0x261	6
0x276	0x274	0
0x27a	0x277	0
0x27a	0x276	1
0x27e	0x27b	0
0x27e	0x27b	1
0x28d	0x28a	0
0x292	0x28f	0
0x292	0x4e6b	1
0x292	0x4e57	2
0x292	0x4e50	3
0x292	0x4e47_0x0	4
0x292	0x281	5
0x296	0x294	0
0x29a	0x297	0
0x29a	0x296	1
0x29e	0x29b	0
0x29e	0x29b	1
0x2ad	0x2aa	0
0x2ad	0x2a8	1
0x2ad	0x2a7	2
0x2ad	0x2a4	3
0x2c0	0x2bd	0
0x2c0	0x2bb	1
0x2c0	0x2ba	2
0x2c0	0x2b7	3
0x2c5	0x2c2	0
0x2c5	0x2c0_0x0	1
0x2c5	0x2c0_0x1	2
