0x254b	0x20f9	0x2559	0x2559
0x2617	0x3466	0x2622	0x2622
0x270a	0x5274	0x629e	0x629e
0x2795	0x33da	0x27a3	0x27a3
0x2805	0x5350	0x62ea	0x62ea
0x283f	0xf23	0x6312	0x6312
0x2af7	0x37d4	0x2b05	0x2b05
0x2c6a	0x37fa	0x2c74	0x2c74
0x2e29	0x3a36	0x2e62	0x2e62
0x2e78	0x2e86	0x2e98	0x2e98
0x2e86	0x53f3	0x63a4	0x63a4
0x2ea0	0x3b39	0x63c8	0x63c8
0x30aa	0x217a	0x30c6	0x3110
0x30aa	0x217a	0x3110	0x3110
0x318a	0x217a	0x31ab	0x31f5
0x318a	0x217a	0x31f5	0x31f5
0x327c	0x3466	0x3284	0x3284
0x32d2	0x2ea0	0x6490	0x6490
0x32f3	0x344e	0x330c	0x330c
0x330c	0x3dc3	0x3333	0x3333
0x330c	0x3dc3	0x64b4	0x3333
0x3333	0x217a	0x64df	0x64df
0x3345	0x344e	0x335e	0x335e
0x335e	0x3dc3	0x3379	0x3379
0x335e	0x3dc3	0x6507	0x3379
0x3379	0x217a	0x6532	0x6532
0x338b	0x33da	0x33a5	0x33a5
0x33a5	0x344e	0x33bf	0x33bf
0x33bf	0x3f19	0x655a	0x655a
0x344e	0x2086	0xd95	0xd95
0x344e	0x2086	0x6582	0xd95
0x34b9	0x3466	0x34c2	0x34c2
0x36a2	0x3f7c	0x3731	0x3731
0x3731	0x3f7c	0x65f2	0x65f2
0x3b39	0x41bb	0x3b9b	0x3b9b
0x3cfc	0x217a	0x3d17	0x3d1e
0x3cfc	0x217a	0x3d1e	0x3d1e
0x3cfc	0x217a	0x6722	0x3d1e
0x3d1e	0x2086	0x3d2c	0x3d2c
0x3d2c	0x33da	0x3d3a	0x3d3a
0x3d3a	0x20f9	0x3d46	0x3d46
0x3dc3	0x2086	0x3dd8	0x3dd8
0x3ddf	0x3dc3	0x3df4	0x3df4
0x3ddf	0x3dc3	0x6747	0x3df4
0x3ddf	0x3dc3	0x676c	0x3df4
0x3df4	0x217a	0x3e0d	0x3e13
0x3df4	0x217a	0x3e13	0x3e13
0x3e1e	0x33da	0x3e27	0x3e27
0x3e2e	0x33da	0x3e38	0x3e38
0x3e43	0x217a	0x3e4c	0x3e4c
0x3e57	0x217a	0x3e61	0x3e61
0x3e68	0x217a	0x3e84	0x3e97
0x3e68	0x217a	0x3e97	0x3e97
0x3e68	0x217a	0x6791	0x3e97
0x3e84	0x3dc3	0x67b6	0x67db
0x3e84	0x3dc3	0x67db	0x67db
0x3e97	0x2086	0x3eaa	0x3eaf
0x3e97	0x2086	0x3eaf	0x3eaf
0x3e97	0x2086	0x67ff	0x3eaf
0x3eaf	0x217a	0x3eca	0x3eca
0x3eaf	0x217a	0x6824	0x3eca
0x3ed5	0x33da	0x3ede	0x3ede
0x3ee5	0x217a	0x3eef	0x3eef
0x3ef9	0x344e	0x3f02	0x3f02
0x3f0f	0x4224	0x3f02	0x3f02
0x3f19	0x217a	0x3f2a	0x3f2a
0x3f19	0x217a	0x6871	0x3f2a
0x3f2a	0x2086	0x3f3f	0x3f45
0x3f2a	0x2086	0x3f45	0x3f45
0x3f2a	0x2086	0x6895	0x3f45
0x3f45	0x3dc3	0x3f53	0x3f53
0x3f53	0x217a	0x3f6f	0x3f6f
0x3f53	0x217a	0x68ba	0x3f6f
0x3f53	0x217a	0x68df	0x3f6f
0x4056	0x2848	0x4094	0x4094
0x41bb	0x4241	0x1f55	0x1f55
0x4224	0x2086	0xd95	0xd95
0x4224	0x2086	0x423b	0xd95
0x429c	0x4428	0x42a5	0x42a5
0x43e0	0x442e	0x43f0	0x43f0
0x43fb	0x20f9	0x4408	0x4408
0x4583	0x5476	0x458d	0x458d
0x461c	0x5426	0x4629	0x4629
0x463e	0x46ab	0x464c	0x464c
0x4720	0x5426	0x4750	0x4750
0x479e	0x5476	0x47a9	0x47a9
0x47d2	0x45ad	0x6a4f	0x6a4f
0x4801	0x5476	0x480c	0x480c
0x4842	0x45ad	0x484e	0x484e
0x4887	0x45ad	0x4893	0x4893
0x4893	0x5476	0x48a7	0x48a7
0x48a7	0x5476	0x6a7f	0x6a7f
0x48f9	0x45ad	0x4905	0x4905
0x4905	0x5476	0x4920	0x4920
0x4920	0x5476	0x4930	0x4930
0x4930	0x5476	0x4940	0x4940
0x4940	0x5476	0x4950	0x4950
0x498f	0x45f6	0x6aaf	0x6aaf
0x49ca	0x45f6	0x49d6	0x49d6
0x49eb	0x45ad	0x49f7	0x49f7
0x49f7	0x5476	0x4a0c	0x4a0c
0x4a21	0x466b	0x4a2e	0x4a2e
0x4a6e	0x45f6	0x4a7a	0x4a7a
0x4a8f	0x45ad	0x4a9c	0x4a9c
0x4a9c	0x5476	0x6ad6	0x6ad6
0x4ac2	0x5476	0x4ad4	0x4ad4
0x4af3	0x5476	0x6b06	0x6b06
0x4b2d	0x5476	0x4b38	0x4b38
0x4b38	0x5476	0x4b48	0x4b48
0x4b48	0x5476	0x4b58	0x4b58
0x4b58	0x5476	0x4b68	0x4b68
0x4b8d	0x5476	0x4b98	0x4b98
0x4b98	0x5476	0x6b36	0x6b36
0x4bbf	0x5476	0x4bca	0x4bca
0x4bca	0x5476	0x4bda	0x4bda
0x4c0c	0x5476	0x4c17	0x4c17
0x4c43	0x5476	0x4c4e	0x4c4e
0x4c4e	0x5476	0x4c5e	0x4c5e
0x4c5e	0x5476	0x4c6e	0x4c6e
0x4c9b	0x5476	0x4ca6	0x4ca6
0x4ca6	0x5476	0x4cb6	0x4cb6
0x4cb6	0x4534	0x4cc5	0x4cc5
0x4cc5	0x5476	0x4cd5	0x4cd5
0x4d19	0x466b	0x4d25	0x4d25
0x4d90	0x46ab	0x6b66	0x6b66
0x4dca	0x46ab	0x4dd6	0x4dd6
0x4dd6	0x5476	0x4def	0x4def
0x4e04	0x466b	0x6b8d	0x6b8d
0x4e3c	0x46ab	0x4e48	0x4e48
0x4e48	0x5476	0x4e60	0x4e60
